,ticker,risk,return,coeffs
0,LMB,0.665555397745964,2.45967736198304,0.0
1,GECCM,0.0117332202251645,0.202107346279615,0.0
2,OXBR,0.81053226704833,2.0405405013556,0.0
3,LIVE,0.630844100227563,3.72954206570089,0.0
4,NVEE,0.330512695490454,1.61096954511547,0.0
5,ANAB,0.468864449187136,0.520464148663662,3.658088392960395e-05
6,FNK,0.430868620950918,0.331227723807535,1.3040611968509303e-05
7,ADRA,0.0262797047435996,0.0897369189585047,0.0
8,HDSN,0.262239439000716,9.52577292474453,0.25339768357559755
9,GNPX,0.775387267371894,3.32352945043554,0.0
10,PLUS,0.284411744479338,0.171294088924632,0.0
11,PIZ,0.405818591556792,0.0314661080571035,0.0
12,LANC,0.394168659869175,0.19428714136766,5.4373182858523824e-05
13,MRUS,0.518858863193706,0.106382975845256,0.0
14,IGF,0.300323947915559,0.0035350003827389,0.0
15,VIRC,0.548001982501686,0.139534855353118,0.0
16,LNGR,0.148413400052555,0.194985487450361,0.0
17,FNCB,0.285201700645252,0.0212234795800594,0.0
18,ARTW,0.673250499563896,0.36612018654234,0.0
19,SGRY,0.644241150532304,1.07759710350363,0.0
20,CRAI,0.38693227715798,1.17297493731976,0.0
21,AVHI,0.0020262922311292,0.0609136451328628,0.0001787822764267528
22,ESGD,0.327092718872789,0.0359514551973568,0.0
23,IBB,0.325855351744248,0.125721348856792,0.0
24,RYTM,0.908074242584484,0.181936089147202,0.0
25,GOLD,0.582278038851688,0.0448957880112887,0.0
26,BL,0.603017704879153,0.379177893925186,0.0
27,HEES,0.569423920999721,0.510537294866599,0.0
28,CHMG,0.385553717438574,0.221596309378765,0.0
29,FCBC,0.391971083066592,0.0497255099232324,0.0
30,RDVT,0.567607207833069,0.270710891603466,0.00028935673630906184
31,ATSG,0.291320235978941,0.197546539630575,0.0
32,HMNF,0.341440746413373,0.0220037125432814,0.0
33,SBAC,0.337246105737651,0.233796418452385,0.0
34,RBBN,0.759176673106039,0.132258096272195,1.4926987837756623e-05
35,AZPN,0.230924613819555,0.626565152867613,0.0
36,PLPC,0.265135346826897,0.458794433427358,0.0
37,CYCCP,0.326827083321029,1.41800003051758,0.0
38,SIMO,0.432021890010231,0.256862715178845,0.0
39,TATT,0.342083008881946,0.151093383766208,0.0
40,AVT,0.417436546159288,0.0674732795897097,0.0
41,IRIX,0.783318778644926,0.0090909002241026,0.0
42,MSFT,0.304314869646017,0.560712932760807,0.0
43,BGNE,0.632999171274725,0.523809523809524,0.00030136695293069037
44,BANFP,0.114625019796101,0.0054844466704981,0.0
45,BILI,0.943798900840618,0.284026753039096,0.0
46,FLEX,0.377850593675782,0.828504271295763,0.0
